filename,volume,name,height,width,channels
5.1.09.tiff,misc,5.1.09,256,256,1
5.1.10.tiff,misc,5.1.10,256,256,1
5.1.11.tiff,misc,5.1.11,256,256,1
5.1.12.tiff,misc,5.1.12,256,256,1
5.1.13.tiff,misc,5.1.13,256,256,1
5.1.14.tiff,misc,5.1.14,256,256,1
5.2.08.tiff,misc,5.2.08,512,512,1
5.2.09.tiff,misc,5.2.09,512,512,1
5.2.10.tiff,misc,5.2.10,512,512,1
5.3.01.tiff,misc,5.3.01,1024,1024,1
5.3.02.tiff,misc,5.3.02,1024,1024,1
7.1.01.tiff,misc,7.1.01,512,512,1
7.1.02.tiff,misc,7.1.02,512,512,1
7.1.03.tiff,misc,7.1.03,512,512,1
7.1.04.tiff,misc,7.1.04,512,512,1
7.1.05.tiff,misc,7.1.05,512,512,1
7.1.06.tiff,misc,7.1.06,512,512,1
7.1.07.tiff,misc,7.1.07,512,512,1
7.1.08.tiff,misc,7.1.08,512,512,1
7.1.09.tiff,misc,7.1.09,512,512,1
7.1.10.tiff,misc,7.1.10,512,512,1
7.2.01.tiff,misc,7.2.01,1024,1024,1
boat.512.tiff,misc,boat.512,512,512,1
gray21.512.tiff,misc,gray21.512,512,512,1
ruler.512.tiff,misc,ruler.512,512,512,1
3.2.25.tiff,aerials,3.2.25,1024,1024,1
1.1.01.tiff,textures,1.1.01,512,512,1
1.1.02.tiff,textures,1.1.02,512,512,1
1.1.03.tiff,textures,1.1.03,512,512,1
1.1.04.tiff,textures,1.1.04,512,512,1
1.1.05.tiff,textures,1.1.05,512,512,1
1.1.06.tiff,textures,1.1.06,512,512,1
1.1.07.tiff,textures,1.1.07,512,512,1
1.1.08.tiff,textures,1.1.08,512,512,1
1.1.09.tiff,textures,1.1.09,512,512,1
1.1.10.tiff,textures,1.1.10,512,512,1
1.1.11.tiff,textures,1.1.11,512,512,1
1.1.12.tiff,textures,1.1.12,512,512,1
1.1.13.tiff,textures,1.1.13,512,512,1
1.2.01.tiff,textures,1.2.01,512,512,1
1.2.02.tiff,textures,1.2.02,512,512,1
1.2.03.tiff,textures,1.2.03,512,512,1
1.2.04.tiff,textures,1.2.04,512,512,1
1.2.05.tiff,textures,1.2.05,512,512,1
1.2.06.tiff,textures,1.2.06,512,512,1
1.2.07.tiff,textures,1.2.07,512,512,1
1.2.08.tiff,textures,1.2.08,512,512,1
