filename,volume,name
4.1.01.tiff,misc,4.1.01
4.1.02.tiff,misc,4.1.02
4.1.03.tiff,misc,4.1.03
4.1.04.tiff,misc,4.1.04
4.1.05.tiff,misc,4.1.05
4.1.06.tiff,misc,4.1.06
4.1.07.tiff,misc,4.1.07
4.1.08.tiff,misc,4.1.08
4.2.01.tiff,misc,4.2.01
4.2.03.tiff,misc,4.2.03
4.2.05.tiff,misc,4.2.05
4.2.06.tiff,misc,4.2.06
4.2.07.tiff,misc,4.2.07
house.tiff,misc,house
2.1.01.tiff,aerials,2.1.01
2.1.02.tiff,aerials,2.1.02
2.1.03.tiff,aerials,2.1.03
2.1.04.tiff,aerials,2.1.04
2.1.05.tiff,aerials,2.1.05
2.1.06.tiff,aerials,2.1.06
2.1.07.tiff,aerials,2.1.07
2.1.08.tiff,aerials,2.1.08
2.1.09.tiff,aerials,2.1.09
2.1.10.tiff,aerials,2.1.10
2.1.11.tiff,aerials,2.1.11
2.1.12.tiff,aerials,2.1.12
2.2.01.tiff,aerials,2.2.01
2.2.02.tiff,aerials,2.2.02
2.2.03.tiff,aerials,2.2.03
2.2.04.tiff,aerials,2.2.04
2.2.05.tiff,aerials,2.2.05
2.2.06.tiff,aerials,2.2.06
2.2.07.tiff,aerials,2.2.07
2.2.08.tiff,aerials,2.2.08
2.2.09.tiff,aerials,2.2.09
2.2.10.tiff,aerials,2.2.10
2.2.11.tiff,aerials,2.2.11
2.2.12.tiff,aerials,2.2.12
2.2.13.tiff,aerials,2.2.13
2.2.14.tiff,aerials,2.2.14
2.2.15.tiff,aerials,2.2.15
2.2.16.tiff,aerials,2.2.16
2.2.17.tiff,aerials,2.2.17
2.2.18.tiff,aerials,2.2.18
2.2.19.tiff,aerials,2.2.19
2.2.20.tiff,aerials,2.2.20
2.2.21.tiff,aerials,2.2.21
2.2.22.tiff,aerials,2.2.22
2.2.23.tiff,aerials,2.2.23
2.2.24.tiff,aerials,2.2.24
wash-ir.tiff,aerials,wash-ir
